resource_id,title,description,org_type,fields,orgs,source,sectors,date_created,date_updated
22f8cdb0-380d-4975-97ec-f7dd95f1c681,State/ UT-wise Details of Average Days of employment provided as per Household under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2014-15 to 2015-16 (Ministry of Rural Development),State/ UT-wise Details of Average Days of employment provided as per Household under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2014-15 to 2015-16 (Ministry of Rural Development),Central,"['document_id', 'sr_no_', 'state', 'no__of_hh_issued_job_cards__in_lakh_', 'no__of_hhs_provided_employment__in_lakh____2014_15', 'no__of_hhs_provided_employment__in_lakh____2015_16', 'average_days___2014_15', 'average_days___2015_16', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-06T19:45:01+00:00,2023-12-07T10:33:21+00:00
c3316007-b128-4bcb-a929-39ffe7a29a95,State/ UT-wise Central funds released to Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2016-17 (Ministry of Rural Development),State/ UT-wise Central funds released to Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2016-17 (Ministry of Rural Development),Central,"['document_id', '_sr__no_', 'state__ut_name', '_total', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-06T19:01:09+00:00,2023-12-07T10:31:52+00:00
73d68992-8549-47b2-9e32-1a6c0936e010,State/ UT-wise Households completed 100 days Employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2014-15 to 2015-16 (Ministry of Rural Development),State/ UT-wise Households completed 100 days Employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2014-15 to 2015-16 (Ministry of Rural Development),Central,"['document_id', '_sr__no_', 'state__ut_name', 'no__of_households_completed_100_days__in_nos____2014_15', 'no__of_households_completed_100_days__in_nos____2015_16', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-06T18:49:27+00:00,2023-12-07T10:31:29+00:00
fa8585f4-2648-4435-b3be-1dc105fc4fd5,State/ UT-wise Person days generated under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2015-16 and 2016-17 (as on 30th June) (Ministry of Rural Development),State/ UT-wise Person days generated under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2015-16 and 2016-17 (as on 30th June) (Ministry of Rural Development),Central,"['document_id', '_sr__no_', 'state__ut_name', 'persondays_generated_as_on_30th_june___2015_16', 'persondays_generated_as_on_30th_june___2016_17', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-06T18:31:40+00:00,2023-12-07T10:30:24+00:00
b0f2d01a-dd15-4bf2-81ff-e1c5c8d658e8,State/ UT-wise Household demanded Employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2014-15 and 2015-16 (Ministry of Rural Development),State/ UT-wise Household demanded Employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2014-15 and 2015-16 (Ministry of Rural Development),Central,"['document_id', 'sl__no_', 'state__ut_name', 'no__of_household_demanded_employment___2014_15', 'no__of_household_demanded_employment___2015_16', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-06T18:27:23+00:00,2023-12-07T10:30:08+00:00
e6bf3cb1-aa43-4f7c-b9fe-942d7209a536,State/UT-wise Details of delayed compensation paid by State Governments under MGNREGA during 2018-19 (From : Ministry of Rural Development),State/UT-wise Details of delayed compensation paid by State Governments under MGNREGA during 2018-19 (From : Ministry of Rural Development),Central,"['document_id', '_sl_no', 'states_uts', 'delayed_compensation_paid__in_rs___', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-05T18:00:55+00:00,2023-12-06T09:56:43+00:00
41256e58-4deb-4d89-83b6-3466a25c5955,"State-wise Details on complaints for not providing employment under MGNREGA (in reply to Starred Question on December 17, 2018) (From : Ministry of Rural Development)","State-wise Details on complaints for not providing employment under MGNREGA (in reply to Starred Question on December 17, 2018) (From : Ministry of Rural Development)",Central,"['document_id', 'sl__no_', 'state', 'complaints_received', 'pendency_status', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-05T17:23:13+00:00,2023-12-06T09:55:15+00:00
1207abc1-893c-475b-a4a8-d5fe6300be6f,State/UT-wise Release position of Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) from 2014-15 to 2017-18 (From: Ministry of Rural Development),State/UT-wise Release position of Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) from 2014-15 to 2017-18 (From: Ministry of Rural Development),Central,"['document_id', 'sr_no', 'state', '__2014_15', '__2015_16', '__2016_17', '_2017_18__as_on_30_01_18_', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-03T16:18:15+00:00,2023-12-05T10:35:43+00:00
c47dcff6-c201-4112-98cc-1e43d70e3e25,State/UT-wise Details of Activities Relating to Natural Resource Management under Mahatma Gandhi National Rural Employment Guarantee Act Scheme (MGNREGA) from 2014-15 to 2017-18 (From: Ministry of Rural Development),State/UT-wise Details of Activities Relating to Natural Resource Management under Mahatma Gandhi National Rural Employment Guarantee Act Scheme (MGNREGA) from 2014-15 to 2017-18 (From: Ministry of Rural Development),Central,"['document_id', '_sl_no', 'state_ut', '__2014_15', '__2015_16', '__2016_17', '_2017_18__so_far_', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-12-03T15:46:39+00:00,2023-12-05T10:34:38+00:00
22ca0b64-15d9-4eca-ad37-a8928eafdcb2,Amount released for Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) from 2013-14 to 2015-16 (as on 07/03/2016) (From: Ministry of Rural Development),Amount released for Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) from 2013-14 to 2015-16 (as on 07/03/2016) (From: Ministry of Rural Development),Central,"['document_id', '_s_no_', 'states__uts', 'central_release___2013_14', 'central_release___2014_15', 'central_release___2015_16__as_on_07_03_2016_', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-11-29T06:34:28+00:00,2023-12-05T10:13:16+00:00
